industry,company_name,tco2_eq,year,revenue,capitalization,tco2_eq_per_revenue,tco2_eq_per_capitalization,,,,,
Agro-alimentaire,Danone,14657151.00,2018,25290.00,38.99,579.56,375.92,0.00,,,,
Agro-alimentaire,Pernod,2151573.00,2018,9182.00,37.37,234.33,57.57,,,,,
Banque,BNPP,1147148002.00,2017,44597.00,46.74,25722.54,24543.18,,,,,
Banque,CASA,722795375.00,2017,20339.00,25.22,35537.41,28659.61,,,2.58E+06,,
Banque,SG,926705051.00,2017,24671.00,11.54,37562.52,80303.73,,,2.58E+06,,
BTP,Bouygues,27850504.00,2018,37929.00,13.06,734.28,2132.50,,,,,
BTP,Lafarge,143000000.00,2017,24573.00,30.20,5819.40,4735.10,,,,,
BTP,St Gobain,12943567.00,2018,42573.00,19.19,304.03,674.50,,,,,
BTP,Vinci,33532366.00,2018,48753.00,49.95,687.80,671.32,,,,,
Eau & Déchets,Suez,9619117.00,2017,18015.00,12.50,533.95,769.53,,,,,
Eau & Déchets,Veolia,43610568.00,2016,27188.00,11.31,1604.04,3855.93,,,,,
Energie,EDF,74932122.00,2018,73317.00,35.50,1022.03,2110.76,,,,,
Energie,Engie,114724591.00,2018,60100.00,29.26,1908.90,3920.87,,,,,
Energie,Maurel & Prom,2143129.00,2018,450.00,0.40,4762.51,5357.82,,,,,
Energie,Technip,43263502.00,2018,11989.00,2.50,3608.60,17305.40,,,,,
Energie,Total,488498864.00,2019,175133.00,89.08,2789.30,5483.82,,,,,
Energie,Vallourec,13895004.00,2017,4173.00,1.70,3329.74,8173.53,,,,,
Hôtels Restauration,Accor,4432506.00,2016,4049.00,7.40,1094.72,598.99,,,,,
Immobilier,Klepierre,343053.00,2016,1242.00,5.90,276.21,58.14,,,,,
Immobilier,Unibail,1338770.00,2016,2417.00,5.40,553.90,247.92,,,,,
Industrie,Air Liquide,44250531.00,2018,21920.00,66.84,2018.73,662.04,,,,,
Industrie,Arcelor,197571310.00,2017,61737.00,11.79,3200.21,16757.53,,,,,
Industrie,Dassault,2198483.00,2018,7370.00,8.10,298.30,271.42,,,,,
Industrie,Legrand,3320534.00,2017,6622.00,18.94,501.44,175.32,,,,,
Industrie,Michelin,48020616.00,2017,24135.00,16.98,1989.67,2828.07,,,,,
Industrie,Safran,15068330.00,2017,25098.00,40.42,600.38,372.79,,,,,
Industrie,Schneider,15171484.00,2016,36126.00,107.68,419.96,140.89,140894.1679,,,,
Industrie,Solvay,17461714.00,2018,10244.00,11.40,1704.58,1531.73,,,,,
Industrie,ST Micro,3793948.00,2017,8331.00,21.97,455.40,172.69,,,,,
Industrie,Thales,11512762.00,2018,18401.00,14.34,625.66,802.84,,,,,
Industrie,Valeo,7243067.00,2017,19477.00,6.00,371.88,1207.18,,,,,
Transports,ADP,2584827.00,2018,4700.00,10.00,549.96,258.48,,,,,
Transports,Air France,18495422.00,2017,27188.00,2.50,680.28,7398.17,,,,,
Transports,Airbus,139657184.00,2017,70478.00,57.84,1981.57,2414.54,,,,,
Transports,Alstom,7518714.00,2017,8072.00,10.54,931.46,713.35,,,,,
Transports,PSA,25030160.00,2017,74731.00,14.04,334.94,1782.77,,,,,
Transports,Renault,23882786.00,2017,55537.00,7.44,430.03,3210.05,,,,,
