industry,company_name,tco2_eq,year,revenue,capitalization
Agro-alimentaire,Danone,14657151,2018,25290,38.99
Agro-alimentaire,Pernod,2151573,2018,9182,37.37
Banque,BNPP,1147148002,2017,44597,46.74
Banque,CASA,722795375,2017,20339,25.22
Banque,SG,926705051,2017,24671,11.54
BTP,Bouygues,27850504,2018,37929,13.06
BTP,Lafarge,143000000,2017,24573,30.2
BTP,St Gobain,12943567,2018,42573,19.19
BTP,Vinci,33532366,2018,48753,49.95
Eau & Déchets,Suez,9619117,2017,18015,12.5
Eau & Déchets,Veolia,43610568,2016,27188,11.31
Energie,EDF,74932122,2018,73317,35.5
Energie,Engie,114724591,2018,60100,29.26
Energie,Maurel & Prom,2143129,2018,450,0.4
Energie,Technip,43263502,2018,11989,2.5
Energie,Total,488498864,2019,175133,89.08
Energie,Vallourec,13895004,2017,4173,1.7
Hôtels Restauration,Accor,4432506,2016,4049,7.4
Immobilier,Klepierre,343053,2016,1242,5.9
Immobilier,Unibail,1338770,2016,2417,5.4
Industrie,Air Liquide,44250531,2018,21920,66.84
Industrie,Arcelor,197571310,2017,61737,11.79
Industrie,Dassault,2198483,2018,7370,8.1
Industrie,Legrand,3320534,2017,6622,18.94
Industrie,Michelin,48020616,2017,24135,16.98
Industrie,Safran,15068330,2017,25098,40.42
Industrie,Schneider,15171484,2016,36126,107.68
Industrie,Solvay,17461714,2018,10244,11.4
Industrie,ST Micro,3793948,2017,8331,21.97
Industrie,Thales,11512762,2018,18401,14.34
Industrie,Valeo,7243067,2017,19477,6
Transports,ADP,2584827,2018,4700,10
Transports,Air France,18495422,2017,27188,2.5
Transports,Airbus,139657184,2017,70478,57.84
Transports,Alstom,7518714,2017,8072,10.54
Transports,PSA,25030160,2017,74731,14.04
Transports,Renault,23882786,2017,55537,7.44
