region,area,country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Asia,Southern Asia,Afghanistan,1.718205519,1.716487474,1.712408395,1.710738993,2.170060571,2.021272052,1.854728225,2.246084442,1.889470292,2.070068954,1.971128894,2.331027769,2.294320703,3.04413472,3.188153998,4.126416785,2.674676078,2.81487736,3.05130271,2.819503131,2.835070377,2.698534136,1.748406066,1.624957298,1.510204512,1.469205177,1.335341508,1.282387663,1.323034252,1.290478499,0.995961946,1.133137917,0.774990372,0.981983553,0.903299123,1.199557083,1.381845158,2.046161145,3.806983671,5.58230163,7.263269127,11.93632921,9.883009903,8.172491616,7.373224711,7.711370648,6.34067495,8.608756693,8.711732758,12.04746906,11.94786362
Europe,Southern Europe,Albania,4.813550216,4.813862409,5.497650314,4.938486791,5.318426442,5.413043778,5.784296274,6.196266579,6.818254901,7.923413967,8.061765278,7.064972194,7.268011833,7.78397962,8.420269317,8.064495078,8.143397762,8.289542054,8.193371848,7.892426121,6.647248944,4.43533714,2.420259758,2.275308336,2.38726302,2.112566713,2.101449588,1.628876754,1.954125136,3.1212221,3.264442002,3.472385061,4.030029836,4.233617728,4.436003306,4.199195352,4.160612477,4.268853657,4.22242521,4.317503483,4.59969427,4.996602266,4.557476577,4.791335867,5.114739723,4.894059588,4.724663128,5.346659184,5.372931688,5.576278147,5.103102689
Africa,Northern Africa,Algeria,18.93157289,22.31575008,34.37505236,46.47522901,39.30254584,35.71715689,46.32627174,51.29204044,56.5741791,56.54009788,56.61472068,53.26468639,54.91324246,57.47839547,60.51863604,69.82002617,72.66824176,69.84172793,70.58371349,71.03638977,68.00366451,72.11706112,80.01655188,80.27152663,77.73649397,80.32180528,79.21386538,77.6625385,77.81485506,81.04614091,83.734624,82.13535415,86.64374113,93.08473047,92.74178832,98.60869757,103.4287332,106.0298597,110.8721696,114.2755438,116.529633,122.8584966,137.2205023,141.5340191,152.1872138,161.4794789,159.2306277,162.0968894,170.9251741,176.6253906,163.4733713
Africa,Middle Africa,Angola,8.95256826,8.538304777,10.38853798,11.37222899,11.83373738,10.93039568,7.317477128,12.05785737,14.23928837,14.2044389,14.34208763,13.25572627,12.79528025,13.25126364,13.38996787,14.14072416,14.2895058,14.5545965,15.00534596,15.16832242,11.29815843,11.85095416,12.19629488,12.21355543,11.56834106,13.03971032,15.77311886,16.50063449,17.13793266,18.13443351,16.6148766,16.29445729,16.03654015,17.45019826,17.81591602,15.97634415,16.73498813,17.24703299,19.50094297,21.32238606,23.83674135,24.84275942,24.19933056,27.83163498,30.42034842,32.6066701,33.07191964,28.2486176,26.45425363,24.45809277,22.51360128
Americas,Caribbean,Anguilla,0.00216829,0.002168323,0.002263749,0.002108956,0.002350261,0.002584033,0.002434474,0.002537064,0.00290161,0.003213013,0.004412632,0.006639775,0.007018855,0.006088887,0.005801139,0.003670826,0.003154645,0.00612588,0.005797218,0.006148496,0.006114429,0.007579442,0.007902932,0.009952204,0.013131263,0.016395663,0.016213337,0.013563754,0.012448772,0.011750834,0.015531534,0.015910761,0.010858916,0.014107807,0.013471884,0.013661622,0.012812443,0.012354727,0.015268492,0.020160956,0.02400452,0.026008037,0.02602321,0.027940524,0.027896051,0.028005445,0.028339862,0.029062419,0.028222981,0.02758,0.023859209
Americas,Caribbean,Antigua and Barbuda,0.271614802,0.271609216,0.315386916,0.345659524,0.284570751,0.36203418,0.319174225,0.353678032,0.366869216,0.34426063,0.341940632,0.308998802,0.403380098,0.247085825,0.306850681,0.299274632,0.323168483,0.435137188,0.423079392,0.396276292,0.401702275,0.422926392,0.431325965,0.393094881,0.416890369,0.438127653,0.441978431,0.43206069,0.419061462,0.428948105,0.409446288,0.408084203,0.411938553,0.463744679,0.488116607,0.477769051,0.474028586,0.485956451,0.49441728,0.569247416,0.56998238,0.622672772,0.684661967,0.733901768,0.726403571,0.722504033,0.710059235,0.557200602,0.541206797,0.528335756,0.457251768
Americas,South America,Argentina,88.85839963,89.3022859,90.43783648,94.53369429,94.3904191,92.30768937,97.18968243,100.6491584,101.8801458,107.2069937,104.7314959,102.3815896,100.5269374,102.5775414,100.6874677,95.11987217,106.4256928,111.2324995,116.550819,114.1826348,108.1451753,112.4765546,116.0257012,115.3188097,124.193861,128.157767,135.9571244,143.4359678,147.8062934,152.5216059,150.8654532,141.3003527,133.3782015,146.6230456,162.9835053,165.9028145,176.720342,184.3508447,196.6380691,186.4260484,191.8321155,199.8539971,206.3365471,202.5819255,207.9307356,210.7235451,210.5919874,204.5941638,202.1992465,188.7381638,176.50956
Asia,Western Asia,Armenia,10.88194389,10.9027263,11.70577345,12.75014023,13.78849753,15.15954615,15.65535984,16.24221473,16.84660774,17.50413868,18.61011684,18.99945805,19.5123019,19.60818081,19.70445187,19.9432625,20.08724476,20.3424853,20.37195463,20.02937578,20.70142935,21.56185527,11.00494599,5.180128961,2.884007883,3.618915116,2.675777425,3.432414202,3.563034633,3.19979477,3.663464635,3.730393821,3.198600298,3.57215885,3.837834406,4.546678527,4.585207874,5.300059807,5.802091672,4.663673997,4.470300736,5.09868239,5.877863158,5.566184364,5.541175915,5.014022579,5.07991051,5.453791304,5.770566125,5.482047341,5.818788612
Americas,Caribbean,Aruba,0.069035893,0.069049052,0.080032256,0.087634129,0.072348438,0.091762902,0.081034868,0.089677893,0.092982818,0.087322044,0.08674731,0.087981759,0.084643051,0.087863345,0.098880916,0.096742203,0.102702253,0.111120063,0.408336207,0.509251099,0.525822894,0.605935325,0.676869575,0.628366918,0.683031921,0.761963059,0.50601595,0.777091699,0.753636192,0.771381344,0.84482987,0.871081189,0.847967417,1.011437676,1.07048045,1.114216138,1.070668585,1.079362873,1.008690513,1.088944169,1.014298465,0.867010479,1.167477606,1.196804777,1.172818164,1.172752909,1.117330246,0.900488695,0.874590901,0.853739324,0.738696627
Oceania,Australia & New Zealand,Australia,161.0765258,162.8121808,168.6808497,178.0509516,187.582744,194.3767319,197.1747691,210.4621087,206.7876245,212.5934835,222.7776851,223.7852573,230.0768749,218.5067549,224.3143907,238.722041,239.1762479,250.3352762,259.1491718,274.8659463,278.1981077,280.2000486,283.5628686,287.6642155,293.1142962,303.2104478,313.7453272,322.7939369,343.7295772,349.0203429,354.7637415,361.3586009,369.7226324,368.7897055,382.5186258,386.3672333,392.4853704,403.0344979,406.8126619,413.0379723,408.4623548,406.2422418,405.7602542,398.9369503,390.7619776,397.4819103,405.2602354,407.7544302,407.9558071,413.7658419,386.4391673
